Geo_FIPS	Geo_NAME	Geo_QName	Geo_FILEID	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_CHARITER	Geo_CIFSN	Geo_LOGRECNO	Geo_REGION	Geo_DIVISION	Geo_STATE	Geo_COUNTY	Geo_COUNTYCC	Geo_COUNTYSC	Geo_COUSUB	Geo_COUSUBCC	Geo_COUSUBSC	Geo_PLACE	Geo_PLACECC	Geo_PLACESC	Geo_TRACT	Geo_BLKGRP	Geo_BLOCK	Geo_IUC	Geo_CONCIT	Geo_CONCITCC	Geo_CONCITSC	Geo_AIANHH	Geo_AIANHHFP	Geo_AIANHHCC	Geo_AIHHTLI	Geo_AITSCE	Geo_AITS	Geo_AITSCC	Geo_TTRACT	Geo_TBLKGRP	Geo_ANRC	Geo_ANRCCC	Geo_CBSA	Geo_CBSASC	Geo_METDIV	Geo_CSA	Geo_NECTA	Geo_NECTASC	Geo_NECTADIV	Geo_CNECTA	Geo_CBSAPCI	Geo_NECTAPCI	Geo_UA	Geo_UASC	Geo_UATYPE	Geo_UR	Geo_CD	Geo_SLDU	Geo_SLDL	Geo_VTD	Geo_VTDI	Geo_RESERVE2	Geo_ZCTA5	Geo_SUBMCD	Geo_SUBMCDCC	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_AREALAND	Geo_AREAWATR	Geo_FUNCSTAT	Geo_GCUNI	Geo_POP100	Geo_HU100	Geo_INTPTLAT	Geo_INTPTLON	Geo_LSADC	Geo_PARTFLAG	Geo_RESERVE3	Geo_UGA	Geo_STATENS	Geo_COUNTYNS	Geo_COUSUBNS	Geo_PLACENS	Geo_CONCITNS	Geo_AIANHHNS	Geo_AITSNS	Geo_ANRCNS	Geo_SUBMCDNS	Geo_CD113	Geo_CD114	Geo_CD115	Geo_SLDU2	Geo_SLDU3	Geo_SLDU4	Geo_SLDL2	Geo_SLDL3	Geo_SLDL4	Geo_AIANHHSC	Geo_CSASC	Geo_CNECTASC	Geo_MEMI	Geo_NMEMI	Geo_PUMA	Geo_RESERVED	SE_T001_001
"10020"	"Abbeville, LA Micro Area"	"Abbeville, LA Micro Area"	"UR1US"	"US"	"310"	"00"	"000"	"47"	"407888"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"10020"	"17"	""	"318"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"3038572441"	"955369492"	"S"	""	"57999"	"25235"	"+29.7868716"	"-092.2900902"	"M2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"20"	""	"2"	""	""	""	57999
"10100"	"Aberdeen, SD Micro Area"	"Aberdeen, SD Micro Area"	"UR1US"	"US"	"310"	"00"	"000"	"47"	"407896"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"10100"	"16"	""	"999"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"7352814243"	"111579584"	"S"	""	"40602"	"18672"	"+45.5222208"	"-098.7041549"	"M2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"00"	""	"2"	""	""	""	40602
"10140"	"Aberdeen, WA Micro Area"	"Aberdeen, WA Micro Area"	"UR1US"	"US"	"310"	"00"	"000"	"47"	"407905"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"10140"	"17"	""	"999"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"4926225833"	"834957671"	"S"	""	"72797"	"35166"	"+47.1427856"	"-123.8270425"	"M2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"00"	""	"2"	""	""	""	72797
"10180"	"Abilene, TX Metro Area"	"Abilene, TX Metro Area"	"UR1US"	"US"	"310"	"00"	"000"	"47"	"407913"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"10180"	"18"	""	"999"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"7105575299"	"36849277"	"S"	""	"165252"	"69721"	"+32.4520222"	"-099.7187428"	"M1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"00"	""	"1"	""	""	""	165252
"10220"	"Ada, OK Micro Area"	"Ada, OK Micro Area"	"UR1US"	"US"	"310"	"00"	"000"	"47"	"407923"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"10220"	"16"	""	"999"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1865918266"	"12405563"	"S"	""	"37492"	"16595"	"+34.7210711"	"-096.6927380"	"M2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"00"	""	"2"	""	""	""	37492
"10260"	"Adjuntas, PR Micro Area"	"Adjuntas, PR Micro Area"	"UR1US"	"US"	"310"	"00"	"000"	"47"	"407931"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"10260"	"14"	""	"999"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"172725651"	"1051793"	"S"	""	"19483"	"8125"	"+18.1815604"	"-066.7581473"	"M2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"00"	""	"2"	""	""	""	19483
"10300"	"Adrian, MI Micro Area"	"Adrian, MI Micro Area"	"UR1US"	"US"	"310"	"00"	"000"	"47"	"407939"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"10300"	"17"	""	"999"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1941337767"	"30701176"	"S"	""	"99892"	"43452"	"+41.8959147"	"-084.0668533"	"M2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"00"	""	"2"	""	""	""	99892
"10380"	"Aguadilla-Isabela-San Sebastián, PR Metro Area"	"Aguadilla-Isabela-San Sebastián, PR Metro Area"	"UR1US"	"US"	"310"	"00"	"000"	"47"	"407947"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"10380"	"19"	""	"999"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"928441564"	"354968054"	"S"	""	"306292"	"138855"	"+18.3792749"	"-067.0716118"	"M1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"00"	""	"1"	""	""	""	306292
"10420"	"Akron, OH Metro Area"	"Akron, OH Metro Area"	"UR1US"	"US"	"310"	"00"	"000"	"47"	"407964"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"10420"	"20"	""	"184"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2331323747"	"62134061"	"S"	""	"703200"	"312581"	"+41.1466395"	"-081.3501104"	"M1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"22"	""	"1"	""	""	""	703200
"10460"	"Alamogordo, NM Micro Area"	"Alamogordo, NM Micro Area"	"UR1US"	"US"	"310"	"00"	"000"	"47"	"407973"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"10460"	"17"	""	"999"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"17128132348"	"37018891"	"S"	""	"63797"	"30992"	"+32.5887764"	"-105.7810785"	"M2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"00"	""	"2"	""	""	""	63797
