Geo_FIPS,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_BTTR,Geo_BTBG,Geo_AREALAND,Geo_AREAWATR,SE_T001_001,SE_T057_001
"10140","Aberdeen, WA Micro Area","Aberdeen","us","310","00","ACSSF","0000185",,,,,,,,,,,,,,,,,,,"10140",,,,,,,,,,,,,,,,,,,,,,,,,,"31000US10140",,,"4926225833","834957671",70818,43356
"10180","Abilene, TX Metro Area","Abilene","us","310","00","ACSSF","0000186",,,,,,,,,,,,,,,,,,,"10180",,,,,,,,,,,,,,,,,,,,,,,,,,"31000US10180",,,"7105575299","36849277",166900,44303
"10300","Adrian, MI Micro Area","Adrian","us","310","00","ACSSF","0000187",,,,,,,,,,,,,,,,,,,"10300",,,,,,,,,,,,,,,,,,,,,,,,,,"31000US10300",,,"1941337767","30701176",99047,46739
"10380","Aguadilla-Isabela, PR Metro Area","Aguadilla-Isabela","pr","310","00","ACSSF","0000029",,,,,,,,,,,,,,,,,,,"10380",,,,,,,,,,,,,,,,,,,,,,,,,,"31000US10380",,,"928441564","354968054",322079,15886
"10420","Akron, OH Metro Area","Akron","us","310","00","ACSSF","0000188",,,,,,,,,,,,,,,,,,,"10420",,,,,,,,,,,,,,,,,,,,,,,,,,"31000US10420",,,"2331323747","62134061",703825,50538
"10460","Alamogordo, NM Micro Area","Alamogordo","us","310","00","ACSSF","0000189",,,,,,,,,,,,,,,,,,,"10460",,,,,,,,,,,,,,,,,,,,,,,,,,"31000US10460",,,"17128132348","37018891",65082,42603
"10500","Albany, GA Metro Area","Albany","us","310","00","ACSSF","0000190",,,,,,,,,,,,,,,,,,,"10500",,,,,,,,,,,,,,,,,,,,,,,,,,"31000US10500",,,"5005299727","65798935",152596,39071
"10540","Albany, OR Metro Area","Albany","us","310","00","ACSSF","0000191",,,,,,,,,,,,,,,,,,,"10540",,,,,,,,,,,,,,,,,,,,,,,,,,"31000US10540",,,"5931407318","48773626",119356,43428
"10580","Albany-Schenectady-Troy, NY Metro Area","Albany-Schenectady-Troy","us","310","00","ACSSF","0000192",,,,,,,,,,,,,,,,,,,"10580",,,,,,,,,,,,,,,,,,,,,,,,,,"31000US10580",,,"7281892392","172655035",880167,62265
"10700","Albertville, AL Micro Area","Albertville","us","310","00","ACSSF","0000193",,,,,,,,,,,,,,,,,,,"10700",,,,,,,,,,,,,,,,,,,,,,,,,,"31000US10700",,,"1465522757","148503356",94636,33446
