Geo_FIPS	Geo_NAME	Geo_QName	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_FILEID	Geo_LOGRECNO	Geo_US	Geo_REGION	Geo_DIVISION	Geo_STATECE	Geo_STATE	Geo_COUNTY	Geo_COUSUB	Geo_PLACE	Geo_PLACESE	Geo_TRACT	Geo_BLKGRP	Geo_CONCIT	Geo_AIANHH	Geo_AIANHHFP	Geo_AIHHTLI	Geo_AITSCE	Geo_AITS	Geo_ANRC	Geo_CBSA	Geo_CSA	Geo_METDIV	Geo_MACC	Geo_MEMI	Geo_NECTA	Geo_CNECTA	Geo_NECTADIV	Geo_UA	Geo_UACP	Geo_CDCURR	Geo_SLDU	Geo_SLDL	Geo_VTD	Geo_ZCTA3	Geo_ZCTA5	Geo_SUBMCD	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_UR	Geo_PCI	Geo_TAZ	Geo_UGA	Geo_PUMA5	Geo_PUMA1	Geo_GEOID	Geo_BTTR	Geo_BTBG	Geo_AREALAND	Geo_AREAWATR	SE_T025_001	SE_T025_002	SE_T025_003	SE_T025_004	SE_T025_005	SE_T025_006	SE_T025_007	SE_T025_008
"10140"	"Aberdeen, WA Micro Area"	"Aberdeen"	"us"	"310"	"00 "	"ACSSF"	"0000185"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"10140"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"31000US10140"	""	""	"4924343587"	"834767915"	52168	6881	18248	18355	6302	1996	127	259
"10180"	"Abilene, TX Metro Area"	"Abilene"	"us"	"310"	"00 "	"ACSSF"	"0000186"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"10180"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"31000US10180"	""	""	"7105577371"	"36847363"	109703	14633	40224	32502	15103	5316	1106	819
"10300"	"Adrian, MI Micro Area"	"Adrian"	"us"	"310"	"00 "	"ACSSF"	"0000187"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"10300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"31000US10300"	""	""	"1941350734"	"30688197"	68240	6037	25187	21919	9382	4514	878	323
"10380"	"Aguadilla-Isabela, PR Metro Area"	"Aguadilla-Isabela"	"pr"	"310"	"00 "	"ACSSF"	"0000028"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"10380"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"31000US10380"	""	""	"1222490239"	"358946565"	217353	71168	62332	45186	27709	8032	1209	1717
"10420"	"Akron, OH Metro Area"	"Akron"	"us"	"310"	"00 "	"ACSSF"	"0000188"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"10420"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"31000US10420"	""	""	"2331619576"	"62018442"	482631	39433	156793	136781	94427	41275	7752	6170
"10460"	"Alamogordo, NM Micro Area"	"Alamogordo"	"us"	"310"	"00 "	"ACSSF"	"0000189"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"10460"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"31000US10460"	""	""	"17126441843"	"36956504"	43247	6053	12436	16968	4532	2519	649	90
"10500"	"Albany, GA Metro Area"	"Albany"	"us"	"310"	"00 "	"ACSSF"	"0000190"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"10500"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"31000US10500"	""	""	"5005406451"	"65692115"	99582	15095	32148	33816	10708	5342	1324	1149
"10540"	"Albany, OR Metro Area"	"Albany"	"us"	"310"	"00 "	"ACSSF"	"0000191"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"10540"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"31000US10540"	""	""	"5923493230"	"50497756"	85318	7086	23747	35992	12365	4017	1810	301
"10580"	"Albany-Schenectady-Troy, NY Metro Area"	"Albany-Schenectady-Troy"	"us"	"310"	"00 "	"ACSSF"	"0000192"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"10580"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"31000US10580"	""	""	"7282139778"	"172580332"	603482	50555	158670	168345	127444	71766	15235	11467
"10700"	"Albertville, AL Micro Area"	"Albertville"	"us"	"310"	"00 "	"ACSSF"	"0000193"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"10700"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"31000US10700"	""	""	"1465524098"	"148503229"	64390	11212	21479	21168	7053	2663	518	297
