Geo_FIPS	Geo_NAME	Geo_QName	Geo_FILEID	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_CHARITER	Geo_CIFSN	Geo_LOGRECNO	Geo_REGION	Geo_DIVISION	Geo_STATE	Geo_COUNTY	Geo_COUNTYCC	Geo_COUNTYSC	Geo_COUSUB	Geo_COUSUBCC	Geo_COUSUBSC	Geo_PLACE	Geo_PLACECC	Geo_PLACESC	Geo_TRACT	Geo_BLKGRP	Geo_BLOCK	Geo_IUC	Geo_CONCIT	Geo_CONCITCC	Geo_CONCITSC	Geo_AIANHH	Geo_AIANHHFP	Geo_AIANHHCC	Geo_AIHHTLI	Geo_AITSCE	Geo_AITS	Geo_AITSCC	Geo_TTRACT	Geo_TBLKGRP	Geo_ANRC	Geo_ANRCCC	Geo_CBSA	Geo_CBSASC	Geo_METDIV	Geo_CSA	Geo_NECTA	Geo_NECTASC	Geo_NECTADIV	Geo_CNECTA	Geo_CBSAPCI	Geo_NECTAPCI	Geo_UA	Geo_UASC	Geo_UATYPE	Geo_UR	Geo_CD	Geo_SLDU	Geo_SLDL	Geo_VTD	Geo_VTDI	Geo_RESERVE2	Geo_ZCTA5	Geo_SUBMCD	Geo_SUBMCDCC	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_AREALAND	Geo_AREAWATR	Geo_FUNCSTAT	Geo_GCUNI	Geo_POP100	Geo_HU100	Geo_INTPTLAT	Geo_INTPTLON	Geo_LSADC	Geo_PARTFLAG	Geo_RESERVE3	Geo_UGA	Geo_STATENS	Geo_COUNTYNS	Geo_COUSUBNS	Geo_PLACENS	Geo_CONCITNS	Geo_AIANHHNS	Geo_AITSNS	Geo_ANRCNS	Geo_SUBMCDNS	Geo_CD113	Geo_CD114	Geo_CD115	Geo_SLDU2	Geo_SLDU3	Geo_SLDU4	Geo_SLDL2	Geo_SLDL3	Geo_SLDL4	Geo_AIANHHSC	Geo_CSASC	Geo_CNECTASC	Geo_MEMI	Geo_NMEMI	Geo_PUMA	Geo_RESERVED	SE_T001_001
"0110700"	"Albertville, AL Micro Area"	"Albertville, Alabama"	"UR1ST"	"AL"	"320"	"00"	"000"	"47"	"287899"	"3"	"6"	"01"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"10700"	"17"	""	"999"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1465522757"	"148503356"	"S"	""	"93019"	"40342"	"+34.3257251"	"-086.2963167"	"M2"	"W"	""	""	"01779775"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"00"	""	"2"	""	""	""	93019
"0110760"	"Alexander City, AL Micro Area"	"Alexander City, Alabama"	"UR1ST"	"AL"	"320"	"00"	"000"	"47"	"287902"	"3"	"6"	"01"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"10760"	"17"	""	"388"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"3541671132"	"168755442"	"S"	""	"53155"	"28589"	"+32.8857566"	"-085.9645484"	"M2"	"W"	""	""	"01779775"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"19"	""	"2"	""	""	""	53155
"0111500"	"Anniston-Oxford, AL Metro Area"	"Anniston-Oxford, Alabama"	"UR1ST"	"AL"	"320"	"00"	"000"	"47"	"287906"	"3"	"6"	"01"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"11500"	"18"	""	"999"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1569189995"	"16624267"	"S"	""	"118572"	"53289"	"+33.7277819"	"-085.8250917"	"M1"	"W"	""	""	"01779775"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"00"	""	"1"	""	""	""	118572
"0112220"	"Auburn-Opelika, AL Metro Area"	"Auburn-Opelika, Alabama"	"UR1ST"	"AL"	"320"	"00"	"000"	"47"	"287910"	"3"	"6"	"01"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"12220"	"18"	""	"194"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1573510728"	"21530362"	"S"	""	"140247"	"62391"	"+32.6014173"	"-085.3419744"	"M1"	"W"	""	""	"01779775"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"19"	""	"1"	""	""	""	140247
"0113820"	"Birmingham-Hoover, AL Metro Area"	"Birmingham-Hoover, Alabama"	"UR1ST"	"AL"	"320"	"00"	"000"	"47"	"287914"	"3"	"6"	"01"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"13820"	"21"	""	"142"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"13673875552"	"233771784"	"S"	""	"1128047"	"500025"	"+33.5022591"	"-086.7988209"	"M1"	"W"	""	""	"01779775"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"21"	""	"1"	""	""	""	1128047
"0117980"	"Columbus, GA-AL Metro Area (part)"	"Columbus, Alabama"	"UR1ST"	"AL"	"320"	"00"	"000"	"47"	"287924"	"3"	"6"	"01"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"17980"	"19"	""	"194"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1660545751"	"15673340"	"S"	""	"52947"	"24595"	"+32.3758605"	"-085.0882693"	"M1"	"P"	""	""	"01779775"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"19"	""	"1"	""	""	""	52947
"0118980"	"Cullman, AL Micro Area"	"Cullman, Alabama"	"UR1ST"	"AL"	"320"	"00"	"000"	"47"	"287926"	"3"	"6"	"01"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"18980"	"17"	""	"142"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1903228333"	"52266921"	"S"	""	"80406"	"37054"	"+34.1526891"	"-086.8387271"	"M2"	"W"	""	""	"01779775"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"21"	""	"2"	""	""	""	80406
"0119300"	"Daphne-Fairhope-Foley, AL Micro Area"	"Daphne-Fairhope-Foley, Alabama"	"UR1ST"	"AL"	"320"	"00"	"000"	"47"	"287929"	"3"	"6"	"01"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"19300"	"18"	""	"380"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"4117521611"	"1133190229"	"S"	""	"182265"	"104061"	"+30.5855436"	"-087.7531138"	"M2"	"W"	""	""	"01779775"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"20"	""	"2"	""	""	""	182265
"0119460"	"Decatur, AL Metro Area"	"Decatur, Alabama"	"UR1ST"	"AL"	"320"	"00"	"000"	"47"	"287935"	"3"	"6"	"01"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"19460"	"18"	""	"290"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"3289322887"	"119753325"	"S"	""	"153829"	"66422"	"+34.5232515"	"-087.0470020"	"M1"	"W"	""	""	"01779775"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"20"	""	"1"	""	""	""	153829
"0120020"	"Dothan, AL Metro Area"	"Dothan, Alabama"	"UR1ST"	"AL"	"320"	"00"	"000"	"47"	"287939"	"3"	"6"	"01"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"20020"	"18"	""	"222"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"4444374403"	"33492066"	"S"	""	"145639"	"66897"	"+31.2180498"	"-085.4776702"	"M1"	"W"	""	""	"01779775"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"18"	""	"1"	""	""	""	145639
